Country,Birth Rate,Business Tax Rate,CO2 Emissions,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound,GDP_trend,Internet Usage_trend,CO2 Emissions_trend,Life Expectancy Female_trend,Mobile Phone Usage_trend
Afghanistan,0.04315384615384616,36.3,2375.7272727272725,8.11111111111111,,9718945316.333334,0.0919090909090909,30.636363636363637,275.0,0.08276923076923078,0.016666666666666666,0.1597142857142857,58.76923076923077,56.38461538461539,0.2545454545454545,0.4903076923076923,0.4887692307692308,0.02076923076923077,25399258.769230768,0.23292307692307693,106000000.0,82400000.0,1581050726.86014,0.006993,681.054545,0.5,0.076364
Albania,0.014692307692307692,42.55,3902.090909090909,23.0,2024.5833333333333,8895522477.461538,0.06146153846153846,168.84615384615384,364.5,0.01776923076923077,0.19230769230769232,0.1423846153846154,79.23076923076923,73.0,0.5615384615384615,0.2583846153846154,0.6536923076923078,0.08792307692307692,2956845.230769231,0.4785384615384615,1165230769.2307692,1007076923.0769231,869180542.659341,0.050549,84.454545,0.230769,0.085714
Algeria,0.02207692307692308,73.7125,102837.63636363637,25.0,34042.166666666664,119039093365.53847,0.038461538461538464,133.84615384615384,451.0,0.02776923076923077,0.06923076923076923,0.08323076923076923,71.61538461538461,68.38461538461539,0.49230769230769234,0.2926923076923077,0.6630769230769231,0.044230769230769226,34760672.07692308,0.6451538461538462,275230769.2307692,451307692.3076923,13449659308.549452,0.014286,4220.627273,0.148352,0.102198
American Samoa,0.020499999999999997,,,,,,,,,,,,,,0.0,,,,57525.38461538462,0.88,,,,,,,0.0
Andorra,0.010583333333333333,,537.6363636363636,,,2268380478.2222223,0.06323076923076923,2394.4615384615386,,0.003,0.5166666666666667,,,,0.7,,,,76684.07692307692,0.8974615384615384,,,326865580.45,0.07886,-0.481818,,0.033516
Angola,0.04830769230769231,52.1,19202.090909090908,92.9,10295.75,50496483906.38461,0.041692307692307695,104.53846153846153,275.75,0.11815384615384615,0.038461538461538464,0.5123076923076924,50.15384615384615,47.38461538461539,0.23076923076923078,0.4775384615384616,0.49815384615384617,0.02446153846153846,17212724.307692308,0.3698461538461538,279384615.38461536,232384615.3846154,9550594839.016483,0.013187,2311.236364,0.527473,0.056593
Antigua and Barbuda,0.018384615384615385,44.4375,418.09090909090907,22.25,140.25,1043836787.2307693,0.04630769230769231,576.0769230769231,198.375,0.010461538461538463,0.3076923076923077,0.11176923076923077,77.07692307692308,72.15384615384616,1.1153846153846154,0.27676923076923077,0.6513076923076924,0.07184615384615384,83523.38461538461,0.2863076923076923,308083333.3333333,43333333.333333336,42533903.423077,0.041758,16.990909,0.181319,0.141758
Argentina,0.017615384615384616,107.625,159280.54545454544,31.8,68870.16666666667,335299690237.2308,0.08492307692307693,587.6153846153846,442.25,0.015000000000000001,0.2692307692307692,0.16638461538461538,78.76923076923077,71.23076923076923,0.8153846153846154,0.2606153846153846,0.6357692307692309,0.10323076923076924,38995454.615384616,0.9023846153846153,3987692307.6923075,5057307692.307693,29053037986.83517,0.041209,6347.472727,0.17033,0.137363
Armenia,0.013769230769230768,38.175,4096.818181818182,14.9,2392.5,6380928046.615385,0.04923076923076923,96.46153846153847,545.5,0.020153846153846154,0.12307692307692308,0.2006153846153846,76.76923076923077,69.92307692307692,0.4538461538461539,0.2213846153846154,0.6696153846153846,0.10892307692307691,3007291.769230769,0.6403076923076922,274000000.0,291769230.7692308,845793693.148352,0.032418,168.863636,0.269231,0.113736
Aruba,0.012076923076923077,,2277.2727272727275,,,2308638268.25,,,,,0.38461538461538464,0.11215384615384615,76.84615384615384,72.0,0.9583333333333334,0.21515384615384617,0.6939999999999998,0.0906923076923077,98866.07692307692,0.4451538461538461,1108076923.0769231,238461538.46153846,76164570.066434,0.048901,9.054545,0.159341,0.084508
