Country,Birth Rate,Business Tax Rate,CO2 Emissions,Days to Start Business,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Mobile Phone Usage,Population 65+,Population Total,Population Urban,Tourism Inbound,Internet Usage_trend,CO2 Emissions_trend,Life Expectancy Female_trend,Mobile Phone Usage_trend,KMeans_Cluster,GMM_Cluster,GMM_Confidence,GMM_Prob_Cluster_0,GMM_Prob_Cluster_1,GMM_Prob_Cluster_2,GMM_Prob_Cluster_3,Hierarchical_Cluster,Spectral_Cluster,Birch_Cluster,KMeans_Cluster_Label,GMM_Cluster_Label,Hierarchical_Cluster_Label,Spectral_Cluster_Label,Birch_Cluster_Label
Afghanistan,1.802629210212208,-0.4028878496888688,-0.6166335962710133,-1.0134178071751083,-0.2954432462159603,1.1727426608710316,-0.6928961551396461,-0.0457587166413065,1.7625063719739635,-0.9685546672582384,0.2815501623306616,-0.9236884444469844,-1.0655703927379476,0.3459157128024747,-1.3430504258048532,-0.8276724263606194,-1.0813347338987065,0.2108198699579618,1.0718383023624571,-0.0145410666572736,1,2,0.9999999999999662,9.992982536676202e-64,3.4149374842608426e-14,0.9999999999999662,0.0,0,1,1,Underdeveloped,Underdeveloped,Developing,Underdeveloped,Underdeveloped
Albania,-0.7193348406289776,-0.0870363398293546,-0.5969419920412159,-0.4713988681624165,-0.3374761594052884,-0.1030633189856455,-0.5016115165410638,0.4346895076267842,-0.5053334260323578,-0.176556032702381,0.0587285581225692,-0.0129648063776614,0.321367339120949,-0.6027166012326866,-0.30849694953503,0.3039033466229989,1.3560752967910703,-0.3170207833617899,-0.3421640072361745,0.2405994574884048,0,0,0.9999974831758394,0.9999974831758394,2.5168241608807086e-06,3.925017457189183e-32,4.9103280487962707e-23,2,0,0,Developing,Developing,Developed,Developing,Developing
Algeria,-0.0649874112215341,1.4877992883301832,0.6794246344537419,-0.3985903539666818,0.8940895178163966,-1.0668037571456372,-0.5500520961902191,0.899033322142872,-0.1564349955698468,-0.7315331780845876,-0.7018603419739198,-0.2183443967395361,-0.5810159732454345,0.7416191051090263,0.3933016190839609,-0.3772716854990445,-0.6732157295406259,1.972248565940824,-0.7750184272330933,0.6904108371694064,2,1,1.0,1.3394640652968148e-121,1.0,2.3769164573768426e-139,8.622753484662417e-55,2,2,0,Developing,Developing,Developed,Developing,Developing
Andorra,-1.083429200221134,-0.1622089991759189,-0.6403467913825245,-0.30029885980244,-0.9862712982093632,-0.0289294391271833,2.3938043613232227,-0.228275360497341,-1.0206295694846792,1.286039985856976,-0.2142526335895652,0.3977943743460876,-0.4205569687577505,-0.7244599215527058,1.4560436805199206,0.0617399093427,2.940369432590002,-0.3921680601578401,-0.2988769896352596,-1.1837668611593095,0,3,0.999999999975369,2.463207532454767e-11,1.210916092558643e-30,2.229249202464681e-170,0.999999999975369,2,0,0,Developing,Developed,Developed,Developing,Developing
Angola,2.2593091869861563,0.3955847672359831,-0.3995568227812465,2.073258702978512,0.4869321870168312,-0.9314288460997536,-0.5906144277206106,-0.0417326142033057,2.997070048995156,-0.8702774644301394,4.3527424850002125,-0.9942228492177292,-0.9893126480309292,-0.0001259959855986,-0.7663184534402164,-0.3702008687648205,-0.7347161800808055,1.653119964444957,1.2161266103641477,-0.5540473022598631,1,2,0.9999996312095233,7.090506590008893e-98,3.687904801208697e-07,0.9999996312095233,0.0,0,1,1,Underdeveloped,Underdeveloped,Developing,Underdeveloped,Underdeveloped
Antigua and Barbuda,-0.3921611259252557,0.0083508161482187,-0.6418890462700874,-0.498702060985817,-1.3547875321359937,-0.7380361160341997,0.0620026123877885,-0.4570921823903843,-0.7602976636780385,0.3437350410934378,-0.3349182328246389,1.6300719165173356,-0.010671590957527,-0.7241708266088205,-1.1181897579278544,-0.324044979846642,0.8641276528431916,-0.3767090999919708,-0.6018756088335104,1.7699144879932611,0,0,0.9999999999099263,0.9999999999099263,9.007331326051645e-11,9.994367039640087e-46,6.170020442934306e-18,2,0,0,Developing,Developing,Developed,Developing,Developing
Argentina,-0.460322316488525,3.1851853023152112,1.4075941223252555,-0.1510414057011837,1.3857715293073982,0.8800163921809031,0.0779720342501474,0.8520621270328632,-0.6019514529296661,0.170304683161498,0.3673159922319367,0.7400936916158788,0.6375192390521289,0.9206217579213783,1.4767801109869634,0.8846433133404095,0.8334054077598807,1.972248565940824,-0.6595898816333714,1.6499847977664963,2,1,1.0,6.114673047177733e-194,1.0,0.0,8.761892955133256e-17,2,2,3,Developing,Developing,Developed,Developing,Developing
Armenia,-0.8011282693049057,-0.3081323967310145,-0.5944298171597254,-0.7662733506551422,-0.4952185563408231,-0.6155540536593521,-0.6017930230242619,1.406322229330968,-0.4221345695374508,-0.4887306769798725,0.8074487107533129,-0.3324441691627995,0.7550832621421157,-0.6005842451724163,0.3728891953429649,-0.3793872460648714,0.3414577638120014,-0.2423400094101198,-0.1401614264346228,1.0052569727408331,0,0,0.9999054963004304,0.9999054963004304,9.450369956954793e-05,4.1179376644919513e-35,6.666913055661102e-33,2,0,0,Developing,Developing,Developed,Developing,Developing
Aruba,-0.9510828885441116,-0.1622089991759189,-0.6179037575206184,-0.30029885980244,-0.9779188819559222,-0.1304606224115983,-0.4330494653453364,-0.228275360497341,-0.4248184036179325,0.6905957569573167,-0.3299729213805784,1.1641645124556756,0.3785606476512134,-0.7235222968202382,-0.4491158686396662,0.2801632908443377,1.26385260116758,-0.3837307821219463,-0.7173041544332324,0.2076904230371013,0,0,0.999999999397291,0.999999999397291,6.027081522843927e-10,1.109001476712472e-55,1.9235725543463212e-25,2,0,0,Developing,Developing,Developed,Developing,Developing
Australia,-0.8352088645865446,0.2439760425034163,2.400502510207962,-1.1994840101197637,1.5335888537372568,0.9380342112005684,2.3938043613232227,-0.9435795603154764,-0.9642690537945818,2.022540905874612,-0.7127400271508533,0.8313735095544897,1.199920106266389,0.1508470566229668,1.3880022680499358,1.4772003957052011,0.0643979543266241,1.972248565940824,-0.6307353712354793,-0.7189745031086846,3,3,1.0,1.114329528275714e-269,1.6454762181906117e-35,0.0,1.0,2,3,2,Developed,Developed,Developed,Developed,Developed
